ip_term	count
185.180.15.237_zsidó	2
185.180.15.237_tungsram	2
185.180.15.237_újpest	2
"178.48.68.249_torgyán"""	2
"178.48.68.249_raskó"""	2
"193.226.241.59_raskó"""	2
81.0.116.1_homoszexuális	3
81.0.116.1_Petrovszki	2
81.0.116.1_Medgyesegyháza	4
81.0.116.1_pörkölt	2
81.0.116.1_buzi	2
81.0.116.1_Nagy Béla	2
81.0.116.1_segg	2
81.0.116.1_pina	2
81.0.116.1_picsa	2
81.0.116.1_pöcs	2
81.0.116.1_karaj	2
81.0.116.1_görögdinnye	2
81.0.116.1_kurva	2
81.0.116.1_prostitúció	6
81.0.116.1_eutanázia	4
94.21.212.231_stumpf	4
81.0.116.1_meleg házasság	2
81.0.116.1_melegházasság	2
81.0.116.1_abortusuz	2
81.0.116.1_abortusu	2
81.0.116.1_abortusz	2
81.0.116.1_momentum	8
81.0.116.1_zsidó	3
81.0.116.1_mém	2
81.0.116.1_bélszín	2
81.0.116.1_torrent	4
134.255.79.97_Keresztény	8
134.255.79.97_Muszlim	4
134.255.79.97_Soros	8
31.46.49.214_devizahitel	13
134.255.79.97_Liberálbolsevik	4
134.255.79.97_Liberális	3
151.0.89.117_libsi	2
188.36.254.238_keresztény	27
94.21.50.176_összefogás	2
"195.38.104.188_hazaáruló"""	2
94.21.50.176_ellenzéki összefogás	6
94.21.50.176_álliberális	2
"37.76.101.215_felháborító"""	2
37.76.101.215_felháborító	1
94.21.212.231_szeged	2
94.21.212.231_szerelem	53
"94.21.212.231_szerelem"""	1
188.36.254.238_csuhások	2
188.36.254.238_csuhás	2
94.21.212.231_pálinka	5
"78.92.103.94_"""	2
"78.92.103.94_Kutya"""	2
78.92.103.94_Kutya	2
94.21.212.231_pörkölt	2
94.21.212.231_mém	2
94.21.212.231_mémek	2
94.21.212.231_meme	2
94.21.50.176_harag	2
94.21.212.231_Orbán Viktor	4
94.21.212.231_tiktok	2
94.21.212.231_instagram	7
94.21.212.231_instagramm	2
94.21.212.231_instagramme	2
94.21.50.176_harag napja	5
94.21.212.231_instaú	2
94.21.212.231_insta	2
94.21.212.231_facebook	6
94.21.212.231_marvel	3
94.21.212.231_szuperhős	2
94.21.212.231_szar	2
94.21.212.231_kurva	2
94.21.212.231_hülye	4
94.21.212.231_és	2
94.21.212.231_elnök	2
94.21.212.231_asztal	2
94.21.212.231_alma	2
94.21.212.231_mondjon le	2
"94.21.212.231_""mondjon le"""	2
"94.21.212.231_""mondjon+le"""	2
94.21.212.231_mondjon+le	2
94.21.212.231_mondjon	2
94.21.212.231_Brüsszel	4
94.21.212.231_o1g	2
94.21.212.231_geci	2
94.21.212.231_Szeged	2
94.21.212.231_szeretet	2
94.21.50.176_harag AND napja	5
94.21.212.231_pacsi	2
94.21.212.231_twitter	2
"94.21.50.176_""harag napja"""	3
94.21.212.231_lol	2
94.21.212.231_el o el	2
94.21.212.231_rofl	2
94.21.212.231_bla	2
94.21.212.231_Beyoncé	2
94.21.212.231_Miley Cyruse	2
94.21.212.231_Miley Cyrus	2
94.21.212.231_Cyrus	2
94.21.212.231_Obama	2
94.21.212.231_Trump	3
94.21.212.231_netflix	2
94.21.212.231_google	2
94.21.212.231_laposföld	2
94.21.212.231_lapos föld	2
94.21.212.231_chemtrail	2
94.21.212.231_gyíkember	2
94.21.212.231_cica	2
94.21.212.231_pina	2
94.21.212.231_pacal	2
"94.21.50.176_""vallásoktatás"""	6
94.21.212.231_kész zoltán	5
94.21.212.231_max weber	2
94.21.212.231_politológia	8
"94.21.50.176_"""	2
94.21.50.176_szélsőjobb	47
94.21.50.176_szélsőjobb 1990	2
"94.21.212.231_"""	2
"78.92.181.33_""emberi jogok"""""	1
78.92.181.33_politológia	2
"80.98.157.89_korrupció"""	2
80.98.157.89_korrupció	1
80.98.157.89_Kommunista	2
80.98.157.89_Homoszexuális	2
80.98.157.89_Zsidó	2
"160.114.44.1_euró"""	1
160.114.44.1_euró	2
"94.21.203.202_korrupció"""	4
94.21.203.202_komló	67
94.21.203.202_boda	2
94.21.203.202_boda paks	2
94.21.50.176_patakvér	12
94.21.50.176_dögkeselyűk	2
"94.21.50.176_""polgári közép"""	2
"188.156.246.157_""politikai kommunikáció"""""	2
"188.156.246.157_""politikai kommunikáció"""	6
94.21.212.231_választás	3
94.21.212.231_választások	2
94.21.98.115_pörkölt	2
94.21.98.115_kábító	2
94.21.98.115_sör	2
94.21.98.115_bor	2
94.21.212.231_szavazás	2
178.48.214.228_Mészáros lőrinc	3
178.48.214.228_Oligarcha	2
"188.156.246.157_pina"""	4
178.48.214.228_Nyugdíj	2
"188.156.246.157_mell"""	4
94.21.203.202_boda radioaktiv	4
"188.156.246.157_princiípium"""	2
"188.156.246.157_princípium"""	2
178.48.214.228_Cafeteria	2
"188.156.246.157_metál"""	2
178.48.214.228_Úrizálás	2
178.48.214.228_Urizálás	2
"188.156.246.157_merkovity"""	2
178.48.214.228_Földesúr	2
"188.156.246.157_Orbán"""	2
178.48.214.228_Stróman	2
178.48.214.228_Kivándorlók	2
178.48.214.228_Bevándorlók	2
178.48.214.228_Zaklatás	2
178.48.214.228_Vandál	2
178.48.214.228_Kórház	2
178.48.214.228_Iskola OR iskolák	2
178.48.214.228_Állami	2
178.48.214.228_Nemzeti	2
178.48.214.228_Olimpia	4
178.48.214.228_Kisemberek	2
178.48.214.228_Keményen dolgozó Kisemberek	2
178.48.214.228_Rezsicsökkentés	2
178.48.214.228_Pálinkafőzés	2
178.48.214.228_Alkoholizmus	2
178.48.214.228_Alkohol	2
"80.99.106.161_hazaáruló"""	2
188.142.221.84_picsa	2
188.142.221.84_csöcs	2
188.142.221.84_szar	2
188.142.221.84_kaka	2
188.142.221.84_fos	2
188.142.221.84_szendvics	2
188.142.221.84_fing	2
"160.114.41.208_""soros györgy"""""	1
"92.249.203.88_""emberi jogok"""""	1
160.114.41.208_e sport	2
160.114.41.208_e-sport	8
160.114.41.208_kurva	2
"86.59.156.102_derültség"""	2
"86.59.156.102_kikérem magamnak"""	2
86.59.156.102_kikérem magamnak	1
"86.59.156.102_"""	2
86.59.156.102_Orbán Viktor	2
86.59.156.102_Szabad György	2
81.182.199.6_devizahitel	3
"78.92.103.94_Ingatlan"""	2
"81.182.199.6_devizahitel"""	1
78.92.103.94_Ingatlan	3
"149.200.11.247_derültség"""	2
149.200.11.247_derültség	2
149.200.11.247_Bajnai kormány	2
"149.200.11.247_hazaáruló"""	1
84.225.207.21_veszélyes	3
84.225.207.21_csicska	3
84.225.207.21_bajszos	2
84.225.207.21_bajusz	2
84.225.207.21_szakáll	2
84.225.207.21_meleg	2
84.225.207.21_AIESEC	2
84.225.207.21_tolmacs	2
84.225.207.21_tolmács	2
84.225.207.21_Goodfriend	2
178.164.236.106_Goodfriend	3
178.164.236.106_sör	6
178.164.236.106_pálinka	3
178.164.236.106_tolmács	1
"188.142.191.195_"""	6
"89.133.18.198_felháborító"""	1
89.133.18.198_körmend	3
89.133.18.198_szentgotthárd	2
188.36.46.190_Elégséges	3
188.142.191.195_varga lászló	2
"188.142.191.195_varga lászló"""	11
"188.36.46.190_Elégséges"""	6
"176.63.28.177_kristyánné"""	2
"176.63.28.177_kozma péter"""	3
46.107.145.16_klerikális	2
46.107.145.16_komondor	2
5.38.174.214_Klímaváltozás	5
31.46.59.129_Politológia	5
"31.46.59.129_"""	2
31.46.147.12_Védett természeti	5
"188.142.220.66_hazaáruló"""	5
188.142.220.66_hazaáruló	1
188.142.220.66_Geci	3
"160.114.46.227_""european union"""	2
"160.114.46.227_""európai unió"""	2
"151.0.88.113_elszámoltatás"""	2
"80.99.217.44_""soros györgy"""""	3
86.59.192.207_levelek	3
"94.21.203.202_komló"""	4
94.21.203.202_pécs	2
"89.134.226.244_kormányváltás"""	3
"89.134.226.244_demokrácia"""	2
89.134.226.244_demokrácia	3
84.206.42.142_törvénykezés	17
84.206.42.142_törvénykezés*	31
84.206.42.142_térdre	12
84.206.42.142_térdre imához	10
84.206.42.142_térdre imára	4
84.206.42.142_hazudik	4
84.206.42.142_kormány hazudik	4
"84.206.42.142_""kormány hazudik"""	6
"84.206.42.142_""kormány hazud*"""	4
"84.206.42.142_""kormány hazud"""	4
"84.206.42.142_""kormány hazudott"""	3
84.206.42.142_infoszolg	2
84.206.42.142_infoszolg*	2
"84.206.42.142_""információs szolgálat"""	2
"84.206.42.142_""képviselői információs szolgálat"""	2
"84.206.42.142_""parlamenti információs szolgálat"""	2
89.134.226.244_Ruszkik haza	2
89.134.226.244_Orbán felszólalás	9
"84.206.42.142_kikérem magamnak"""	2
193.6.51.194_1995. évi XCIII	8
"84.206.42.142_derültség"""	2
"84.206.42.142_elszámoltatás"""	3
84.206.42.142_elszámoltatás	1
84.206.42.142_liberális	2
84.206.42.142_gulyás	2
84.206.42.142_állattenyésztés	2
84.206.42.142_ilkei	3
84.206.42.142_bős-nagymaros	3
"176.63.21.125_hazaáruló"""	2
176.63.21.125_balról	2
176.63.21.125_felzúdulás	2
176.63.21.125_közbeszólás	2
176.63.21.125_kurva	2
"176.63.21.125_"""	2
176.63.21.125_derültség	3
84.206.42.142_euro	2
84.206.42.142_kannabisz	2
84.206.42.142_részvényes	4
84.206.42.142_részvényes*	9
84.206.42.142_műemlék*	4
84.206.42.142_pénzmosás*	3
"84.206.42.142_pénzmosás*"""	1
84.206.42.142_v4	5
84.206.42.142_bűnügyi jogsegély*	2
84.206.42.142_börtön*	4
"88.8.178.158_nix ugribugri"""	2
62.77.223.174_lakás	3
"176.77.134.69_hazaáruló"""	2
"91.104.151.45_derültség"""	2
91.104.151.45_Gyerekszob	8
"84.0.41.183_derültség"""	2
91.104.151.45_Gyerekszoba	5
"84.0.41.183_kikérem magamnak"""	2
188.6.201.193_stróman	6
"109.105.18.157_NATO"""	2
"84.0.41.183_rezsicsökkentés"""	2
62.77.223.174_chemtrail	2
62.77.223.174_pető	3
62.77.223.174_oltás	2
"195.184.24.52_hazaáruló"""	2
"62.77.223.174_pető"""	3
62.77.223.174_dugó	4
62.77.223.174_cigány	2
62.77.223.174_jobbik	2
"62.77.223.174_""jobbik"""	2
62.77.223.174_zsidó	2
188.6.201.193_Soros György	22
62.77.223.174_Orbán	2
62.77.223.174_lakhatás	2
62.77.223.174_önkormányzati	2
62.77.223.174_környezet	2
188.6.201.193_Brüsszel	2
"62.77.223.174_lakás"""	2
37.220.133.81_Sátoraljaújhely	2
188.6.201.193_Mondjon le	7
37.220.133.81_Börtön	2
37.220.133.81_Büntetés-végrehajtás	4
37.220.133.81_Orosz	31
37.220.133.81_Fogvatartás	7
37.220.133.81_Orbán Viktor	4
37.220.133.81_Trianon	4
37.220.133.81_Kreativitás	4
193.6.51.194_kútfúrás	6
130.43.214.86_Náci	2
"176.63.22.127_""soros györgy"""""	2
130.43.214.86_Trianon	2
130.43.214.86_Pláh	3
130.43.214.86_Oláh	4
84.2.59.70_Kiskunfélegyháza	80
"139.191.247.3_kikérem magamnak"""	2
"84.2.59.70_Kiskunfélegyháza"""	2
"89.135.108.100_lakás"""	3
89.135.108.100_Cseres	4
"80.251.178.106_korrupció"""	2
"80.251.178.106_"""	8
80.251.178.106_jogállam	4
"80.251.178.106_jogállam"""	5
80.251.178.106_csaló	2
80.251.178.106_geci	2
"84.1.213.252_migráció"""	2
"212.96.46.82_"""	4
212.96.46.82_tölgyessy	2
157.181.13.99_szégyen	3
157.181.13.99_bocsánat	2
157.181.13.99_sajnálom	2
157.181.13.99_zsidó	2
157.181.13.99_hajléktalan	2
157.181.13.99_fogyatékkal élő	2
157.181.13.99_migráns	2
84.206.42.2_világkiállítás	5
89.132.180.207_kommunista	17
89.132.180.207_biszku	3
89.132.180.207_ügynök	8
195.199.249.161_Komló	2
89.132.180.207_III/III	6
"89.132.180.207_III/III"""	1
89.132.180.207_felelősségre vonás	2
195.199.223.158_komló	2
176.63.22.178_Hegedüs	5
89.132.180.207_kommunista bűn	2
77.234.86.246_Komló	2
176.63.22.178_Cigány	3
"176.63.22.178_"""	1
94.21.47.13_Komló	3
176.63.22.178_Komló	7
37.76.38.234_Murony	2
2.45.95.45_Paks	2
77.110.162.109_Szászvár	2
37.76.43.111_Komló	2
77.110.162.109_klaudió	2
"89.135.177.21_rezsicsökkentés"""	2
89.135.177.21_infláció	2
89.135.177.21_gázár	2
89.135.177.21_munkanélküli	2
"89.135.177.21_keresztényüldözés"""	2
"89.135.177.21_trianon"""	2
"194.38.121.101_derültség"""	3
194.38.121.101_Tiszavasvári	5
193.151.118.77_Sásd	2
176.77.134.87_Iker	2
176.77.134.87_Oroszbarát	2
"74.139.227.83_Balliberalis"""	2
"74.139.227.83_Zsido"""	2
"74.139.227.83_Tevedtem"""	2
5.38.174.214_karácsony	6
5.38.174.214_karácsonyt	4
"37.76.116.53_derültség"""	2
"188.143.58.240_derültség"""	2
37.76.116.53_Halál	2
37.76.116.53_Béke	4
37.76.116.53_Megeggyezés	2
37.76.116.53_Kurva	2
37.76.116.53_Infláció	2
5.38.174.214_boldog karácsonyt	2
37.17.160.140_Fasz	2
"81.182.142.160_migráció"""	2
"5.38.174.214_""boldog karácsonyt"""	2
"130.43.197.19_korrupció"""	1
5.38.174.214_orbán	2
37.17.160.140_Komló	2
"85.66.137.33_migráció"""	2
5.38.174.214_zene	2
130.43.197.19_Orfű	4
5.38.174.214_kórus	2
"5.38.174.214_kórus"""	2
"5.38.174.214_"""	4
"84.225.206.27_korrupció"""	3
130.43.197.19_Pécsi tó	8
109.61.109.134_komló	3
37.17.163.250_komló	7
"31.46.65.177_euró"""	1
37.76.56.116_Páty	3
"78.131.95.130_""soros györgy"""""	1
78.131.95.130_Komló	2
176.63.20.115_Kunbaja	4
"89.132.180.207_euró"""	2
176.63.20.115_Komló	9
176.63.20.115_KónyA	5
176.63.20.115_Kónya	4
78.131.1.91_komló	6
176.63.20.115_budapest	6
176.63.20.115_Bácsalmás	8
"89.132.180.207_kommunista"""	2
88.132.181.142_zsidó	5
88.132.181.142_keresztény	2
88.132.181.142_polgár	2
88.132.181.142_magyar	7
88.132.181.142_magyarság	2
88.132.181.142_idegen	2
88.132.181.142_határon túli	2
88.132.181.142_Kárpát	2
88.132.181.142_Kárpát-medence	2
88.132.181.142_demokrácia	2
88.132.181.142_diktatúra	2
88.132.181.142_orosz	2
88.132.181.142_Putyin	2
88.132.181.142_hadsereg	2
88.132.181.142_vicc	2
88.132.181.142_orbán	2
"176.63.20.115_""soros györgy"""""	5
88.132.181.142_facebook	2
88.132.181.142_Trump	2
88.132.181.142_hvg	2
88.132.181.142_propaganda	2
176.63.20.115_migráció	5
176.63.20.115_fidesz	4
176.63.20.115_náci	4
176.63.20.115_szar	6
176.63.20.115_fos	5
176.63.20.115_geci	6
"84.206.42.2_"""	4
37.76.49.169_Erdèly triannon	5
176.63.20.115_fasz	6
176.63.20.115_meleg	6
176.77.135.8_Komló	7
37.76.49.169_Cigàny	3
193.6.177.225_mondjon le	2
193.6.201.128_múzeum	4
"193.6.201.128_hazaáruló"""	1
193.6.201.128_könyvtár	2
176.77.135.8_Beregsurány	2
"37.76.49.169_Cigàny"""	4
"81.182.145.115_költségvetés"""	1
81.182.145.115_bőhm	4
89.147.69.1_komló	10
92.249.143.173_KOMLÓ	3
176.63.26.26_Gyermekvédelem	4
87.101.117.18_Kurva	4
92.249.248.210_elvira	2
217.65.125.72_patkánycsödör	3
217.65.125.72_hazaáruló	4
217.65.125.72_zsidó	4
217.65.125.72_kurva	2
176.77.141.94_Nyugdíj összege	5
217.65.125.72_baszd meg	3
217.65.125.72_kun béla	4
217.65.125.72_görgei artúr	4
"84.0.25.91_""emberi jogok"""""	3
217.65.125.72_illiberális	3
"84.0.25.91_költségvetés"""	2
217.65.125.72_nyilas	4
176.77.136.120_Elvira major	4
176.77.136.120_Génbank	3
"88.132.27.232_NATO"""	1
88.132.27.232_Mondjon le	3
"31.46.87.159_migráció OR migráns"""	1
217.20.130.254_soros	6
217.20.130.254_index	51
188.157.71.93_demokrácia	2
84.206.25.236_Pétfürdő	2
"176.63.97.250_migráció"""	1
84.206.25.236_Bakonynána	3
"213.229.183.42_NATO"""	4
84.206.25.236_Tés	2
84.206.25.236_história	2
"195.38.113.208_Kagi"""	2
195.38.113.208_Kagi	1
84.206.25.236_torgyán	2
84.206.25.236_bika	2
37.76.7.34_Magyarhertelend	2
37.76.7.34_Balatonalmádi	4
84.206.25.236_magánnyugdíj pénztár	5
"77.111.96.90_korrupció"""	1
77.111.96.90_korrupció	1
"37.76.111.134_hazaáruló"""	2
"194.143.230.34_nix ugribugri"""	2
93.104.30.81_Orban	2
93.104.30.81_Soros	2
"93.104.30.81_"""	4
93.104.30.81_poros	2
176.63.24.192_mocskos	2
93.104.30.81_Csernobil	2
80.99.117.57_Trianon	5
176.77.129.93_Börtön	3
80.99.117.57_Erdély	6
176.63.26.179_szar	2
80.99.117.57_határon túli	11
176.77.129.93_Bilincs	4
178.48.162.223_Geci	3
176.77.129.93_Kukac	2
93.104.30.81_Geloczi	2
93.104.30.81_Heltai	2
176.77.129.93_Szar	2
93.104.30.81_Németország	4
80.99.117.57_határon túl	2
80.99.117.57_Európai	2
80.99.117.57_egyház	3
"37.76.66.172_derültség"""	2
"178.48.160.103_hazaáruló"""	2
185.161.73.140_áruló	2
185.161.73.140_tolvaj	2
185.161.73.140_lopnak	2
93.189.115.110_csicska	4
81.183.39.220_körülmetél	2
81.183.39.220_fity	2
81.183.39.220_fasz	2
81.183.39.220_lo	2
81.183.39.220_zsidó	2
84.206.25.236_jedi	2
81.183.39.220_náci	2
81.183.39.220_mszmp	4
84.206.25.236_darth vader	2
77.111.96.90_migráns	3
84.206.25.236_vader	2
84.206.25.236_darth	2
"77.111.96.90_nix ugribugri"""	2
93.189.115.110_covfefe	2
84.206.25.236_halálcsillag	2
84.206.25.236_vajna	2
84.206.25.236_hajdú péter	2
84.206.25.236_sarka	2
176.63.176.101_geci	3
84.206.25.236_sarka kata	2
93.189.115.110_rumcájsz	2
93.189.115.110_ramazuri	2
93.189.115.110_balhé	4
82.4.76.229_Kaki	9
176.63.176.101_pacal	2
"212.96.59.212_korrupció"""	5
217.20.130.254_bérenc	3
85.66.216.250_nagy andrás	3
176.63.176.101_kolbász	2
176.63.176.101_pörkölt	3
93.189.115.110_fos	2
93.189.115.110_kuki	2
93.189.115.110_puni	2
"176.63.176.101_"""	3
212.96.59.212_drog	16
176.63.176.101_puni	2
146.110.141.121_Matyi	3
"77.111.96.90_""emberi jogok"""""	2
178.164.134.166_kurva	2
178.164.134.166_titkos	2
178.164.134.166_titkosított	2
178.164.134.166_akták	2
178.164.134.166_mszmp	2
"77.111.96.79_""emberi jogok"""""	3
178.164.134.166_3/3	2
178.164.134.166_3/3%+	2
178.164.134.166_hattyú	2
"77.111.96.79_költségvetés"""	1
"178.164.134.166_hattyú"""	1
176.63.24.192_bevándorláspárti	2
"176.63.22.79_nix ugribugri"""	2
178.164.134.166_vízibicikli	2
212.96.59.212_kábítószer	4
178.164.134.166_aranyháromszög	2
176.63.22.79_patakvér	2
176.63.24.192_fasz	2
178.164.134.166_háromszög	2
176.63.24.192_fasza	2
178.164.134.166_pornó	2
178.164.134.166_porn	2
176.63.24.192_pufajkás	2
178.164.134.166_porno	2
176.63.176.101_segg	2
178.164.134.166_leszbikus	2
178.164.134.166_meleg	2
178.164.134.166_transz	2
176.63.176.101_útelágazódás	2
178.164.134.166_galamb	2
"176.63.24.192_pufajkás"""	2
178.164.134.166_mese	2
178.164.134.166_lárifári	2
"84.236.51.120_""soros györgy"""""	6
77.111.96.90_buzi	4
"84.236.51.120_""soros györgy"""	2
77.111.96.90_kurva	2
77.111.96.90_köcsög	2
178.164.134.166_vicc	2
77.111.96.90_basz	2
77.111.96.90_baszd	2
"84.236.51.120_""mihályfalvi"""	3
84.236.51.120_mihályfalvi	5
84.236.51.120_krakus	4
178.164.134.166_lúdas matyi	2
178.164.134.166_döbrögi	2
84.236.51.120_kosárlabda	3
178.164.134.166_blood	2
178.164.134.166_vér	2
176.63.176.101_virsli	2
77.111.96.90_fasz	2
178.164.134.166_ismerős arcok	2
"77.111.96.90_"""	4
77.111.96.90_pina	2
